screen_name,twitter_id,block,final_rank,block_rank,enhanced_score,hits_hub_score,cluster_score,pattern_score,# of Projects Followed,Avg Position
CJCJCJCJ_,483061902,authority,1,1,1120.9158829059602,100.0,27.359357482231204,78.94,236,210.6
chikajafrita,397932858,authority,2,2,1068.0436829395549,30.537904119587957,26.058903819966986,85.4,64,146.0
mutu_1987,344115915,authority,3,3,1063.7162871673745,33.20317968514346,27.359357482231204,81.06,80,189.4
0xminion,159227459,authority,4,4,1053.408652150515,55.71679466828394,27.359357482231204,69.02000000000001,200,309.8
yama201122,581627318,authority,5,5,1053.0715766540768,44.69407102369753,27.359357482231204,74.87,135,251.3
chen_p10,1652362880,authority,6,6,1046.8924348627831,19.279188491663113,27.359357482231204,86.99,36,130.1
zmanian,7910872,authority,7,7,1025.5809702881254,8.613207972100923,25.50984564935788,67.76,48,322.4
crypto_Hunky,3068162012,authority,8,8,1023.3244645059531,15.030235228850081,27.359357482231204,80.14,39,198.6
501502503mozmoz,2287059415,authority,9,9,1022.4888186813257,15.617344643795192,26.425320191376763,77.85,52,221.5
hakandmr99,451098114,authority,10,10,1021.4973923207393,28.927477264817135,26.058903819966986,70.32000000000001,89,296.8
casperdefi,59555878,authority,11,11,1017.519183417616,4.923336910449769,26.425320191376763,74.46000000000001,38,255.4
hodlovich,3153141236,authority,12,12,1016.877894883066,21.15687073416812,27.359357482231204,74.57000000000001,60,254.3
KaxaruHidechi,444497738,authority,13,13,1016.0804952124661,5.992742588656993,26.425320191376763,77.72999999999999,37,222.7
fuckmacropod,191767259,authority,14,14,1013.3108763901886,29.596691321750583,27.359357482231204,62.510000000000005,116,374.9
gadgetbuzz,17377426,authority,15,15,1011.032465183906,8.414287849672165,26.425320191376763,71.55,35,284.5
after_ape,4360711633,authority,16,16,1009.7141240601405,25.681690828408797,26.058903819966986,70.65,85,293.5
0xkp__,1268203753,authority,17,17,1004.891011846634,13.786712063420495,26.425320191376763,70.22999999999999,49,297.7
cuysheffield,336178185,authority,18,18,1003.5452595762417,3.578719872669857,26.425320191376763,72.59,41,274.1
PRINCEHYPNO,47382772,authority,19,19,1003.2701945119134,14.313354184009846,26.058903819966986,61.89,63,381.1
angryherrera1,3025270905,authority,20,20,999.9511278381259,22.538653472777945,27.359357482231204,68.17,77,318.3
mikedemarais,14253911,authority,21,21,999.6455623811382,4.516181848059486,25.50984564935788,61.98,43,380.2
privacyb0x,318992222,authority,22,22,998.949106087456,10.042748810191094,25.50984564935788,66.85,43,331.5
kitsulan,318755576,authority,23,23,998.9113525112913,11.139484698654805,26.61943538020408,66.22,37,337.8
0mgm4d,148984529,authority,24,24,998.888136869689,13.315596686085609,26.058903819966986,61.65,55,383.5
3azima85,260180304,authority,25,25,997.2197424223356,18.96442223095879,26.425320191376763,70.83,62,291.7
tarunchitra,53836928,authority,26,26,996.2820617147678,12.612216065409898,25.50984564935788,69.16,47,308.4
GregMRosenthal,72073011,authority,27,27,995.9541161013143,9.322524420210302,25.50984564935788,63.089999999999996,63,369.1
TTx0x,312469971,authority,28,28,995.1867749901784,13.085394192740981,26.425320191376763,62.57000000000001,66,374.3
christryandi,216658970,authority,29,29,993.0797236661724,9.470366183941263,27.359357482231204,64.5,40,355.0
mattyryze,14206218,authority,30,30,992.7455405613563,2.9045060842651713,26.425320191376763,58.879999999999995,56,411.2
whitesocks256,198491880,authority,31,31,989.1894639042756,7.926217533155508,27.359357482231204,62.64,36,373.6
akira_crypto0,334463256,authority,32,32,988.1395009233017,6.823128100346009,26.425320191376763,66.47,38,335.3
wiziswiz,25588134,authority,33,33,987.6689604717864,10.617481777433854,27.359357482231204,64.47999999999999,33,355.2
Crypto_Goatinho,2269474885,authority,34,34,986.4996127526772,12.32672585868123,27.359357482231204,71.49,34,285.1
N_EDITS,2174658464,authority,35,35,980.4999697316445,21.32394558274671,27.359357482231204,56.9,90,431.0
AlBunuOZaman,116216047,authority,36,36,980.3618225032131,6.7124650209820445,27.359357482231204,58.54,40,414.6
